Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE AUGUSTE BEHAL,2017,LENS,LILLE,PU,64,59,62,79,74,67
LYCEE ACAJOU 1,2017,LE LAMENTIN,MARTINIQUE,PU,83,69,42,70,58,65
LYCEE JOSEPH PERNOCK (GENERAL ET TECHNO.),2017,LE LORRAIN,MARTINIQUE,PU,,,89,,,76
LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.),2017,LONGWY,NANCY-METZ,PU,95,84,85,89,86,90
LYCEE JEAN HANZELET (GENERAL ET TECHNO.),2017,PONT A MOUSSON,NANCY-METZ,PU,,,96,,,94
LYCEE SAINT LOUIS,2017,BAR LE DUC,NANCY-METZ,PR,100,87,95,,92,95
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.),2017,TALANGE,NANCY-METZ,PU,,,65,,,71
LYCEE NOTRE DAME DE LA PROVIDENCE,2017,THIONVILLE,NANCY-METZ,PR,100,100,100,97,97,98
LYCEE BEAU JARDIN,2017,ST DIE DES VOSGES,NANCY-METZ,PR,100,100,94,95,93,96
EXTERNAT DES ENFANTS NANTAIS,2017,NANTES,NANTES,PR,100,100,100,94,97,98
LYCEE NOTRE DAME (GENERAL ET TECHNO.),2017,REZE,NANTES,PR,100,97,99,98,96,98
LYCEE DON BOSCO,2017,MAYENNE,NANTES,PR,100,100,100,,91,98
LYCEE GABRIEL TOUCHARD - WASHINGTON (GENERAL ET TECHNO.),2017,LE MANS,NANTES,PU,,85,90,,93,94
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.),2017,FONTENAY LE COMTE,NANTES,PU,84,94,96,92,94,96
LYCEE JEHAN DE BEAUCE (GENERAL ET TECHNO.),2017,CHARTRES,ORLEANS-TOURS,PU,91,91,93,92,90,93
LYCEE SAINT GATIEN,2017,JOUE LES TOURS,ORLEANS-TOURS,PR,100,84,92,,96,96
LYCEE PAUL-LOUIS COURIER,2017,TOURS,ORLEANS-TOURS,PU,94,90,83,97,92,93
LYCEE JACQUES MONOD,2017,ST JEAN DE BRAYE,ORLEANS-TOURS,PU,91,97,98,94,93,96
LYCEE PIERRE-GILLES DE GENNES-ENCPB,2017,PARIS 13,PARIS,PU,,,91,,,92
LYCEE FRANCOIS VILLON,2017,PARIS 14,PARIS,PU,45,81,71,71,79,77
LYCEE GERSON,2017,PARIS 16,PARIS,PR,,100,100,,98,98
LYCEE BERNARD PALISSY,2017,SAINTES,POITIERS,PU,94,98,89,95,95,95
LYCEE SAINT ANDRE (GENERAL ET TECHNO.),2017,NIORT,POITIERS,PR,100,96,97,96,96,98
LYCEE DU HAUT VAL DE SEVRE (GENERAL ET TECHNO.),2017,ST MAIXENT L ECOLE,POITIERS,PU,80,90,92,88,91,93
LYCEE FRANCOIS BAZIN (GENERAL ET TECHNO.),2017,CHARLEVILLE MEZIERES,REIMS,PU,,69,76,,82,91
LYCEE MABILLON,2017,SEDAN,REIMS,PR,100,95,96,91,93,94
LYCEE BLAISE PASCAL,2017,ST DIZIER,REIMS,PU,,,90,,,88
LYCEE JEAN TALON (GENERAL ET TECHNO.),2017,CHALONS EN CHAMPAGNE,REIMS,PU,,76,77,,83,81
LYCEE JULES LESVEN,2017,BREST,RENNES,PU,,88,,,93,
LYCEE JEAN-BAPTISTE LE TAILLANDIER,2017,FOUGERES,RENNES,PR,100,96,100,95,95,97
LYCEE MARCEL CALLO,2017,REDON,RENNES,PR,,,95,,,95
LYCEE JOLIOT-CURIE,2017,RENNES,RENNES,PU,,89,100,,94,97
LYCEE ST MARTIN,2017,RENNES,RENNES,PR,97,98,99,97,97,98
LYCEE ST FRANCOIS-XAVIER,2017,VANNES,RENNES,PR,94,100,97,96,96,97
LYCEE PORTE OCEANE (GENERAL ET TECHNO.),2017,LE HAVRE,ROUEN,PU,65,69,57,85,77,72
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),2017,STE ADRESSE,ROUEN,PR,,,70,,,85
LYCEE SCHURE,2017,BARR,STRASBOURG,PU,96,98,94,93,94,96
INSTITUTION STE PHILOMENE,2017,HAGUENAU,STRASBOURG,PR,,100,98,,97,98
LYCEE LAMBERT,2017,MULHOUSE,STRASBOURG,PU,88,95,92,91,92,91
LYCEE LE CAOUSOU,2017,TOULOUSE,TOULOUSE,PR,100,98,100,98,98,98
LYCEE MARCELIN BERTHELOT,2017,TOULOUSE,TOULOUSE,PU,93,83,94,91,92,96
LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2017,BAGNERES DE BIGORRE,TOULOUSE,PU,89,91,96,89,89,96
LYCEE GASTON MONNERVILLE (GENERAL ET TECHNO.),2017,CAHORS,TOULOUSE,PU,,,100,,,96
LYCEE LEO FERRE (GENERAL ET TECHNO.),2017,GOURDON,TOULOUSE,PU,90,80,83,93,95,94
LYCEE SAINTE MARIE,2017,NEUILLY SUR SEINE,VERSAILLES,PR,100,100,100,,100,100
LYCEE JULIE-VICTOIRE DAUBIE,2017,ARGENTEUIL,VERSAILLES,PU,94,88,88,93,87,87
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),2017,EAUBONNE,VERSAILLES,PU,82,81,91,90,91,94
LYCEE JEAN-JACQUES ROUSSEAU,2017,MONTMORENCY,VERSAILLES,PU,88,86,84,91,87,90
LYCEE ST EXUPERY,2017,MANTES LA JOLIE,VERSAILLES,PU,93,85,81,93,86,85
ECOLE INTERNATIONALE PACA,2018,MANOSQUE,AIX-MARSEILLE,PU,100,100,100,,96,97
LYCEE ST CHARLES CAMAS,2018,MARSEILLE 05,AIX-MARSEILLE,PR,100,96,100,,93,94
LYCEE DU HAINAUT,2016,VALENCIENNES,LILLE,PU,,,94,,,82
LYCEE GAY LUSSAC,2016,CHAUNY,AMIENS,PU,98,98,91,93,92,94
LYCEE ANDRE MAUROIS,2016,DEAUVILLE,CAEN,PU,85,86,96,90,88,95
LYCEE FERDINAND BUISSON (GENERAL ET TECHNO.),2016,ELBEUF,ROUEN,PU,,70,94,,91,94
LYCEE PAUL SERUSIER (GENERAL ET TECHNO.),2016,CARHAIX PLOUGUER,RENNES,PU,100,93,88,94,93,95
LYCEE RENE LAENNEC,2016,PONT L ABBE,RENNES,PU,95,86,91,95,91,93
LYCEE ST ETIENNE (GENERAL ET TECHNO.),2016,CESSON SEVIGNE,RENNES,PR,,,100,,,95
LYCEE JOLIOT-CURIE,2016,RENNES,RENNES,PU,,,98,,,97
LYCEE ST JOSEPH,2016,ANCENIS,NANTES,PR,100,100,99,98,98,97
LYCEE NOTRE DAME (GENERAL ET TECHNO.),2016,REZE,NANTES,PR,96,98,99,99,98,98
LYCEE ST MICHEL,2016,CHATEAU GONTIER,NANTES,PR,83,100,97,,97,96
LYCEE NOTRE DAME,2016,FONTENAY LE COMTE,NANTES,PR,100,100,100,97,96,94
LYCEE DU MIRAIL,2016,BORDEAUX,BORDEAUX,PR,82,77,65,90,86,80
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.),2016,BORDEAUX,BORDEAUX,PU,,,93,,,97
LYCEE MICHEL MONTAIGNE,2016,BORDEAUX,BORDEAUX,PU,90,96,96,96,96,97
LYCEE LA SAUQUE,2016,LA BREDE,BORDEAUX,PR,100,100,100,99,98,99
LYCEE GEORGE SAND,2016,NERAC,BORDEAUX,PU,94,96,94,90,90,92
LYCEE ST FRANCOIS,2016,MAULEON SOULE,BORDEAUX,PR,,100,80,,,
LYCEE ST JOSEPH,2016,NAY,BORDEAUX,PR,100,100,100,95,95,95
LYCEE GABRIEL FAURE,2016,FOIX,TOULOUSE,PU,90,75,94,92,91,90
LYCEE OZENNE,2016,TOULOUSE,TOULOUSE,PU,96,94,97,97,98,98
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.),2016,NOGARO,TOULOUSE,PU,83,96,94,90,98,96
LYCEE LOUIS VICAT (GENERAL ET TECHNO.),2016,SOUILLAC,TOULOUSE,PU,,76,81,,87,92
LYCEE RENE BILLERES,2016,ARGELES GAZOST,TOULOUSE,PU,100,95,89,90,91,91
LYCEE BLAISE PASCAL,2016,CLERMONT FERRAND,CLERMONT-FERRAND,PU,98,97,97,97,96,98
LYCEE JEAN ROSTAND,2012,CAEN CEDEX,CAEN,PU,75,88,92,86,89,89
LYCEE ST JACQUES DE COMPOSTELLE,2012,DAX,BORDEAUX,PR,100,89,100,90,97,91
LYCEE PIERRE POIVRE,2016,ST JOSEPH,LA REUNION,PU,91,95,93,89,90,93
LYCEE BELLEVUE,2016,FORT DE FRANCE,MARTINIQUE,PU,96,96,95,96,96,94
LYCEE SONNY RUPAIRE,2016,STE ROSE,GUADELOUPE,PU,100,94,95,92,92,92
LYCEE PIERRE-GILLES DE GENNES,2017,DIGNE LES BAINS,AIX-MARSEILLE,PU,,,98,,,96
LYCEE LES ISCLES (GENERAL ET TECHNO.),2017,MANOSQUE,AIX-MARSEILLE,PU,,,95,,,92
LYCEE P. S. DE LAPLACE,2012,CAEN CEDEX,CAEN,PU,,,100,,,88
LYCEE LA SAUQUE,2012,LA BREDE,BORDEAUX,PR,100,100,100,97,97,94
LYCEE MONNET-MERMOZ,2012,AURILLAC CEDEX,CLERMONT-FERRAND,PU,,89,88,,92,92
LYCEE JEAN MONNET (GENERAL ET TECHNO.),2017,VITROLLES,AIX-MARSEILLE,PU,88,100,96,94,89,92
LYCEE CEVENOL,2012,LE CHAMBON SUR LIGNON,CLERMONT-FERRAND,PR,29,86,63,79,,81
INSTITUTION SAINT-PAUL,2012,AJACCIO CEDEX,CORSE,PR,85,92,100,81,86,80
LYCEE LA PROVIDENCE,2017,AMIENS,AMIENS,PR,73,95,96,96,96,97
LYCEE CAMILLE JULLIAN,2017,BORDEAUX,BORDEAUX,PU,94,94,91,95,93,96
LYCEE SAINT VINCENT,2012,SENLIS CEDEX,AMIENS,PR,100,97,98,96,98,98
LYCEE JEAN ROSTAND,2017,CAEN,CAEN,PU,76,76,88,94,91,91
LYCEE HUGUES CAPET,2012,SENLIS CEDEX,AMIENS,PU,77,86,93,85,92,95
LYCEE HONORE ROMANE,2012,EMBRUN CEDEX,AIX-MARSEILLE,PU,100,100,77,92,95,90
LYCEE EDGAR FAURE,2012,MORTEAU CEDEX,BESANCON,PU,93,86,94,92,93,92
LYCEE LOUIS THUILLIER,2018,AMIENS,AMIENS,PU,98,84,93,93,93,95
LYCEE VICTOR HUGO,2018,BESANCON,BESANCON,PU,91,95,96,91,95,96
LYCEE CONDORCET,2018,BELFORT,BESANCON,PU,92,97,93,93,96,96
LYCEE ARNAUD DANIEL,2012,RIBERAC,BORDEAUX,PU,100,96,80,94,86,94
LYCEE VICTOR BERARD,2012,MOREZ CEDEX,BESANCON,PU,,,97,,,94
LYCEE EXPERIMENTAL A.MALRAUX,2018,BIARRITZ,BORDEAUX,PU,88,97,95,91,91,95
LYCEE JEAN ROSTAND,2018,CAEN,CAEN,PU,96,82,93,89,92,92
LYCEE OZENNE,2012,TOULOUSE CEDEX,TOULOUSE,PU,100,99,99,95,97,99
LYCEE JULLIOT DE LA MORANDIERE (GENERAL ET TECHNO.),2018,GRANVILLE,CAEN,PU,82,81,93,92,91,96
LYCEE CHARLES ET ADRIEN DUPUY (GENERAL ET TECHNO.),2018,LE PUY EN VELAY,CLERMONT-FERRAND,PU,91,94,95,96,94,96
LYCEE JACQUES PREVERT,2012,BOULOGNE BILLANCOURT,VERSAILLES,PU,89,76,88,91,87,88
LYCEE GEORGES CLEMENCEAU SARTENE (GENERAL ET TECHNO.),2018,SARTENE,CORSE,PU,94,100,100,86,83,88
LYCEE JOLIOT-CURIE,2012,NANTERRE CEDEX,VERSAILLES,PU,58,51,75,82,64,61
LYCEE MADELEINE DANIELOU,2012,RUEIL MALMAISON,VERSAILLES,PR,100,100,100,99,100,99
LYCEE GEORGE SAND (GENERAL ET TECHNO.),2012,DOMONT CEDEX,VERSAILLES,PU,89,77,83,88,85,88
LYCEE SAINT MARTIN DE FRANCE,2012,PONTOISE,VERSAILLES,PR,100,94,93,91,93,92
LYCEE VAUBAN,2012,PONTOISE,VERSAILLES,PR,100,100,,89,88,
LYCEE JULES FERRY,2012,CONFLANS STE HONORINE,VERSAILLES,PU,89,86,88,91,94,89
LYCEE CONDORCET (GENERAL ET TECHNO.),2012,LIMAY,VERSAILLES,PU,83,76,87,81,86,82
LYCEE CHARLES DE GAULLE,2012,POISSY CEDEX,VERSAILLES,PU,,96,100,,93,96
LYCEE EMILIE DE BRETEUIL (GENERAL ET TECHNO.),2012,ST QUENTIN EN YVELIN CED,VERSAILLES,PU,100,95,97,92,95,95
LYCEE JEAN-JACQUES ROUSSEAU,2015,MONTMORENCY,VERSAILLES,PU,81,84,86,90,92,90
LYCEE DE LA TOURELLE (GENERAL ET TECHNO.),2015,SARCELLES,VERSAILLES,PU,,83,74,,72,71
LYCEE PAUL ARENE (GENERAL ET TECHNO.),2016,SISTERON,AIX-MARSEILLE,PU,79,86,93,92,89,92
LYCEE ST ELOI,2016,AIX EN PROVENCE,AIX-MARSEILLE,PR,,,100,,,90
LYCEE HONORE DAUMIER,2016,MARSEILLE 08,AIX-MARSEILLE,PU,88,93,88,92,93,91
LYCEE ADAM DE CRAPONNE,2013,SALON DE PROVENCE,AIX-MARSEILLE,PU,100,96,89,90,95,93
LYCEE VIALA LACOSTE,2016,SALON DE PROVENCE,AIX-MARSEILLE,PR,100,100,100,97,98,98
LYCEE LOUIS ARAGON (GENERAL ET TECHNO.),2013,HERICOURT,BESANCON,PU,95,83,100,96,95,94
LYCEE PHILIPPE DE GIRARD,2016,AVIGNON,AIX-MARSEILLE,PU,89,83,84,87,90,81
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.),2016,PORTO VECCHIO,CORSE,PU,100,100,94,89,93,93
LYCEE GEORGES CLEMENCEAU SARTENE (GENERAL ET TECHNO.),2016,SARTENE,CORSE,PU,100,91,100,88,87,
LYCEE FERNAND DAGUIN,2013,MERIGNAC,BORDEAUX,PU,88,93,93,94,97,97
CLEPT - LYCEE MOUNIER,2016,GRENOBLE,GRENOBLE,PU,86,86,67,,,
LYCEE CHAMPOLLION,2016,GRENOBLE,GRENOBLE,PU,100,97,97,99,97,98
LYCEE ROBIN,2016,VIENNE,GRENOBLE,PR,100,95,95,97,92,93
LYCEE SAINTE CROIX DES NEIGES,2016,ABONDANCE,GRENOBLE,PR,50,75,80,,,
LYCEE INTERNATIONAL,2016,FERNEY VOLTAIRE,LYON,PU,94,94,97,94,94,96
LYCEE SAINT JUST,2016,LYON 05,LYON,PU,99,95,97,97,96,96
LYCEE PAUL ROBERT (GENERAL ET TECHNO.),2013,LES LILAS,CRETEIL,PU,91,89,90,92,85,92
LYCEE DESIRE NISARD (GENERAL ET TECHNO.),2016,CHATILLON SUR SEINE,DIJON,PU,100,100,91,92,93,93
LYCEE EMILAND GAUTHEY (GENERAL ET TECHNO.),2016,CHALON SUR SAONE,DIJON,PU,,96,87,,91,91
LYCEE RENE CASSIN (GENERAL ET TECHNO.),2016,MACON,DIJON,PU,87,93,93,95,94,95
LYCEE ASTIER (GENERAL ET TECHNO.),2013,AUBENAS,GRENOBLE,PU,,,79,,,83
LYCEE SAINT PAUL,2012,ROANNE,LYON,PR,100,88,100,85,93,96
LYCEE FRANCOIS 1ER (GENERAL ET TECHNO.),2016,VITRY LE FRANCOIS,REIMS,PU,95,93,97,97,94,92
LYCEE DIDEROT (GENERAL ET TECHNO.),2016,LANGRES,REIMS,PU,94,100,96,90,95,93
LYCEE LOUIS BERTRAND,2016,BRIEY,NANCY-METZ,PU,100,100,97,94,93,92
LYCEE ERNEST BICHAT,2016,LUNEVILLE,NANCY-METZ,PU,98,86,90,94,89,93
LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.),2012,CANET EN ROUSSILLON CEDE,MONTPELLIER,PU,73,88,93,86,86,91
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),2016,FORBACH,NANCY-METZ,PU,,75,,,68,
LYCEE CLAUDE GELLEE,2016,EPINAL,NANCY-METZ,PU,96,95,94,96,95,96
LYCEE JEANNE D'ARC,2016,REMIREMONT,NANCY-METZ,PR,93,93,100,91,89,93
LYCEE MARC BLOCH,2016,BISCHHEIM,STRASBOURG,PU,92,82,91,92,87,93
LYCEE FUSTEL DE COULANGES,2016,STRASBOURG,STRASBOURG,PU,96,98,93,98,96,96
INSTITUT NICOLAS BARRE,2016,ARMENTIERES,LILLE,PR,,,100,,,94
LYCEE LA PERVERIE SACRE COEUR,2012,NANTES CEDEX,NANTES,PR,96,100,99,97,98,98
LYCEE PAYS DE RETZ,2012,PORNIC CEDEX,NANTES,PU,90,94,96,90,94,96
LYCEE EMMANUEL MOUNIER,2012,ANGERS,NANTES,PU,67,96,100,93,93,91
LYCEE STE AGNES,2012,ANGERS,NANTES,PR,86,91,83,89,94,90
LYCEE SAINTE MARIE,2012,CHOLET,NANTES,PR,91,91,98,95,96,94
LYCEE D'ESTOURNELLES DE CONSTANT (GENERAL ET TECHNO.),2012,LA FLECHE CEDEX,NANTES,PU,89,93,98,92,94,94
LYCEE STE ANNE (GENERAL ET TECHNO.),2012,SABLE SUR SARTHE CEDEX,NANTES,PR,67,93,89,92,92,93
LYCEE MONTAIGNE,2016,PARIS 06,PARIS,PU,94,98,94,96,95,94
LYCEE MAURICE RONDEAU,2016,BUSSY ST GEORGES,CRETEIL,PR,,100,100,,98,98
LYCEE SAINT-SULPICE,2012,PARIS 06,PARIS,PR,96,97,84,88,84,79
LYCEE JACQUES BREL,2016,LA COURNEUVE,CRETEIL,PU,73,72,87,83,69,72
LYCEE ANDRE BOULLOCHE,2016,LIVRY GARGAN,CRETEIL,PU,94,97,95,94,92,93
LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO.),2016,CRETEIL,CRETEIL,PU,75,73,84,88,86,80
LYCEE CONDORCET (GENERAL ET TECHNO.),2016,LA VARENNE ST HILAIRE CEDE,CRETEIL,PU,97,98,94,94,94,93
LYCEE JEAN VILAR,2016,PLAISIR,VERSAILLES,PU,100,95,97,93,95,94
LYCEE EMILIE DE BRETEUIL (GENERAL ET TECHNO.),2016,ST QUENTIN EN YVELINES CED,VERSAILLES,PU,96,90,96,95,94,93
LYCEE FRANCOIS BAZIN,2012,CHARLEVILLE MEZIERES CED,REIMS,PU,,,87,,,87
LYCEE NOTRE DAME DU GRANDCHAMP,2016,VERSAILLES,VERSAILLES,PR,100,100,100,99,99,98
LYCEE BLAISE PASCAL,2012,ST DIZIER,REIMS,PU,,,94,,,86
LYCEE NOTRE-DAME ST VICTOR,2012,EPERNAY,REIMS,PR,100,100,79,87,91,91
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.),2016,DOURDAN,VERSAILLES,PU,,,86,,,89
LYCEE CHARLES DE GAULLE,2012,VANNES CEDEX,RENNES,PU,93,92,97,91,95,95
LYCEE ARISTIDE BRIAND,2012,EVREUX CEDEX,ROUEN,PU,81,87,93,88,90,94
INSTITUTION SAINTE CLOTILDE,2012,STRASBOURG CEDEX,STRASBOURG,PR,,96,61,,84,77
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),2013,FIGEAC,TOULOUSE,PR,100,100,100,,,
LYCEE PAUL LANGEVIN,2016,SURESNES,VERSAILLES,PU,85,89,88,93,94,94
LYCEE CLEMENT ADER (GENERAL ET TECHNO.),2013,ATHIS MONS,VERSAILLES,PU,,,83,,,66
LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),2013,ETAMPES,VERSAILLES,PU,95,89,89,96,95,93
LYCEE AUGUSTE RENOIR,2013,ASNIERES SUR SEINE,VERSAILLES,PU,94,82,82,89,93,88
LYCEE CHEVREUL BLANCARDE,2012,MARSEILLE CEDEX 04,AIX-MARSEILLE,PR,100,97,100,98,97,95
LYCEE ST JOSEPH LES MARISTES,2012,MARSEILLE 06,AIX-MARSEILLE,PR,95,100,96,95,95,95
LYCEE EUGENE IONESCO (GENERAL ET TECHNO.),2013,ISSY LES MOULINEAUX,VERSAILLES,PU,86,97,94,93,92,93
LYCEE VAN GOGH,2013,ERMONT,VERSAILLES,PU,93,92,92,94,94,95
LYCEE JEAN MOULIN (GENERAL ET TECHNO.),2018,BEZIERS,MONTPELLIER,PU,97,83,86,87,81,86
LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.),2018,PERPIGNAN,MONTPELLIER,PU,91,88,87,90,85,84
COURS BASTIDE,2014,MARSEILLE 06,AIX-MARSEILLE,PR,100,100,96,98,95,92
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),2018,FORBACH,NANCY-METZ,PU,,86,,,85,
LYCEE SAINT JOSEPH-LA PROVIDENCE,2018,FORBACH,NANCY-METZ,PR,100,88,96,,81,94
LYCEE ST JOSEPH,2018,CHATEAUBRIANT,NANTES,PR,100,98,100,97,98,97
LYCEE AIME CESAIRE (GENERAL ET TECHNO.),2018,CLISSON,NANTES,PU,96,94,92,96,96,96
LYCEE LA COLINIERE,2018,NANTES,NANTES,PU,93,86,91,92,93,95
LYCEE JULES UHRY,2014,CREIL,AMIENS,PU,77,67,58,80,65,55
LYCEE RENE GOSCINNY,2018,DRAP,NICE,PU,86,90,78,76,83,83
LYCEE HUGUES CAPET,2014,SENLIS,AMIENS,PU,93,91,95,91,93,97
LYCEE JEAN RACINE,2014,MONTDIDIER,AMIENS,PU,100,81,86,90,84,83
LYCEE SACRE COEUR,2014,PERONNE,AMIENS,PR,100,100,81,,93,95
LYCEE XAVIER MARMIER (GENERAL ET TECHNO.),2014,PONTARLIER,BESANCON,PU,91,98,93,93,93,94
LYCEE ARMAND PEUGEOT,2014,VALENTIGNEY,BESANCON,PU,100,95,93,94,92,93
LYCEE CHARLES DESPIAU,2014,MONT DE MARSAN,BORDEAUX,PU,92,99,98,95,95,96
LYCEE CLAUDE MONET,2018,PARIS 13,PARIS,PU,100,98,99,99,98,97
LYCEE DE NAVARRE (GENERAL ET TECHNO.),2014,ST JEAN PIED DE PORT,BORDEAUX,PU,100,94,96,96,92,96
LYCEE SAINTE MARTHE CHAVAGNES,2018,ANGOULEME,POITIERS,PR,,97,93,,94,88
LYCEE MARIE IMMACULEE,2014,SEES,CAEN,PR,,88,94,,84,95
LYCEE CARNOT,2014,CANNES,NICE,PU,95,82,90,94,89,93
LYCEE MASSENA,2014,NICE,NICE,PU,96,95,94,95,94,96
LYCEE JEAN MONNET,2014,JOUE LES TOURS,ORLEANS-TOURS,PU,100,87,93,96,94,95
LYCEE PAUL-LOUIS COURIER,2014,TOURS,ORLEANS-TOURS,PU,93,90,87,96,94,95
LYCEE SAINT MEDARD INST N-D LA RICHE,2014,TOURS,ORLEANS-TOURS,PR,83,95,100,94,95,96
LYCEE CAMILLE CLAUDEL,2014,BLOIS,ORLEANS-TOURS,PU,90,89,88,93,92,93
LYCEE JEAN ZAY (GENERAL ET TECHNO.),2014,ORLEANS,ORLEANS-TOURS,PU,98,93,96,97,96,97
LYCEE VOLTAIRE,2014,ORLEANS,ORLEANS-TOURS,PU,96,90,93,95,94,96
LYCEE PAUL CLAUDEL,2014,PARIS 07,PARIS,PR,100,100,100,99,99,98
LYCEE BOSSUET-NOTRE-DAME,2014,PARIS 10,PARIS,PR,100,100,100,99,99,97
LYCEE ROCROY SAINT-VINCENT DE PAUL,2014,PARIS 10,PARIS,PR,100,100,100,97,98,98
LYCEE VOLTAIRE,2014,PARIS 11,PARIS,PU,81,75,69,89,83,71
ECOLE ACTIVE BILINGUE J.MANUEL,2014,PARIS 15,PARIS,PR,100,100,100,,,
LYCEE SAINT CHARLES,2014,THOUARS,POITIERS,PR,,94,100,,96,97
LYCEE NOTRE DAME DU MUR,2014,MORLAIX,RENNES,PR,100,95,98,,95,97
LYCEE AUGUSTE BRIZEUX,2014,QUIMPER,RENNES,PU,90,98,96,97,97,97
LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.),2013,PRADES,MONTPELLIER,PU,100,74,93,90,91,93
LYCEE JACQUES MARQUETTE,2013,PONT A MOUSSON,NANCY-METZ,PU,83,96,89,97,94,92
LYCEE JEAN HANZELET (GENERAL ET TECHNO.),2013,PONT A MOUSSON,NANCY-METZ,PU,,,96,,,97
LYCEE SAINTE CHRETIENNE,2013,SARREGUEMINES,NANCY-METZ,PR,80,100,83,89,90,85
LYCEE LA HERDRIE,2013,BASSE GOULAINE,NANTES,PU,100,100,100,97,98,97
LYCEE ND D'ESPERANCE,2013,ST NAZAIRE,NANTES,PR,100,98,96,98,97,97
LYCEE SAINT AUBIN LA SALLE (GENERAL ET TECHNO.),2013,ST SYLVAIN D ANJOU,NANTES,PR,100,100,94,92,95,93
LYCEE ALFRED KASTLER - GUITTON (GENERAL ET TECHNO.),2013,LA ROCHE SUR YON,NANTES,PU,,94,97,,93,96
LYCEE GUILLAUME APOLLINAIRE,2013,NICE,NICE,PU,83,71,85,91,89,91
LYCEE PARC IMPERIAL,2013,NICE,NICE,PU,95,92,92,94,94,95
INSTITUTION ST JOSEPH CARNOLES (GENERAL ET TECHNO.),2013,ROQUEBRUNE CAP MARTIN,NICE,PR,100,95,100,90,96,94
LYCEE RAYNOUARD (GENERAL ET TECHNO.),2013,BRIGNOLES,NICE,PU,95,94,89,92,95,90
LYCEE SAINTE JEANNE D ARC (GENERAL ET TECHNO.),2013,BRIGNOLES,NICE,PR,100,96,100,96,96,97
LYCEE JACQUES COEUR,2013,BOURGES,ORLEANS-TOURS,PU,,85,93,,94,95
LYCEE STE MARIE ST DOMINIQUE,2013,BOURGES,ORLEANS-TOURS,PR,95,96,92,93,95,95
LYCEE DUHAMEL DU MONCEAU,2013,PITHIVIERS,ORLEANS-TOURS,PU,100,97,87,95,95,94
LYCEE NOTRE-DAME DE SION,2013,PARIS 06,PARIS,PR,100,100,100,99,99,99
LYCEE VICTOR DURUY,2013,PARIS 07,PARIS,PU,98,100,97,98,99,98
LYCEE ELISA LEMONNIER (GENERAL ET TECHNO.),2013,PARIS 12,PARIS,PU,,90,,,89,
LYCEE PIERRE-GILLES DE GENNES-ENCPB,2013,PARIS 13,PARIS,PU,,,91,,,93
LYCEE AUTOGERE,2013,PARIS 15,PARIS,PU,39,22,25,74,,70
LYCEE DIDEROT (GENERAL ET TECHNO.),2013,PARIS 19,PARIS,PU,,,74,,,81
LYCEE SAINTE MARTHE CHAVAGNES,2013,ANGOULEME,POITIERS,PR,,87,,,87,
LYCEE LEONCE VIELJEUX,2013,LA ROCHELLE,POITIERS,PU,,94,94,,94,95
LYCEE LOUIS PASTEUR,2014,STRASBOURG,STRASBOURG,PU,94,99,90,79,89,95
LYCEE NOTRE-DAME,2014,PAMIERS,TOULOUSE,PR,100,86,100,,87,93
LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.),2014,BLAGNAC,TOULOUSE,PU,94,87,99,92,96,98
LYCEE VINCENT AURIOL,2014,REVEL,TOULOUSE,PU,85,88,96,87,95,95
LYCEE MARCELIN BERTHELOT,2014,TOULOUSE,TOULOUSE,PU,95,87,96,96,81,96
LYCEE HENRI POINCARE (GENERAL ET TECHNO.),2014,PALAISEAU,VERSAILLES,PU,,86,73,,,84
LYCEE DESCARTES,2014,ANTONY,VERSAILLES,PU,86,96,96,93,96,97
LYCEE MICHELET,2014,VANVES,VERSAILLES,PU,94,99,93,97,96,97
LYCEE TOULOUSE LAUTREC,2014,VAUCRESSON,VERSAILLES,PU,50,100,88,,88,
LYCEE SAINT MARTIN DE FRANCE,2014,PONTOISE,VERSAILLES,PR,87,88,86,89,93,91
LYCEE FRANCO ALLEMAND,2014,BUC,VERSAILLES,PU,100,100,100,99,99,99
